Mã CK ,Sàn ,Ngành ,Cơ Cấu Thu Nhập,Đầu Vào,Sản Xuất,Đầu Ra,Khác
POM,HOSE,Kim loại và khai thác,"Cơ cấu doanh thu (2022)
- Bán thành phẩm (88,56%)
- Bán nguyên liệu (10,78%)
- Bán phế liệu (0,54%)
- Cung cấp dịch vụ (0,12%).","Với công nghệ sản xuất thép EAF, thép phế chiếm đến hơn 55% giá vốn sản xuất của POM.","Năng lực sản xuất
Nhà máy thép Pomica 1 (2006, Bình Dương): Công suất
600.000 tấn/năm.
Nhà máy luyện phôi thép Pomica 2 (2010, KCN Phú Mỹ, BR-
VT): Công suất 1 triệu tấn phôi thép và cán 500.000 tấn thép
xây dựng.
Nhà máy Thép Việt: Công suất 500.000 phôi luyện và 500.000
tấn thép cán.
Nhà máy luyện phôi thép Pomica 3 (2012, KCN Phú Mỹ, BR-
VT): Công suất 1,5 triệu tấn phôi thép và cán 1,1 triệu tấn thép
xây dựng.","Hệ thống phân phối
POM có 4 chi nhánh: Cần Thơ, Nha Trang, Quy Nhơn, Đà Nẵng.",No Data
POW,HOSE,Tiện ích điện,"Cơ cấu doanh thu (2022)
- Điện khí (67,01%)
- Điện than (25%)
- Thủy điện (7,05%)
- Khác (0,94%)","Nhiên liệu đầu vào
Khí tự nhiên do PVGAS cung cấp.
Than: Hợp đồng dài hạn với Vinacomin, cung cấp trung bình khoảng 3 triệu tấn/năm. 1 số ít nhập của Danka.","Điện khí (60% sản lượng)
- NM Cà Mau 1&2 (U Minh, Cà Mau, 2008): 1.500MW.
- NM Nhơn Trạch 1 (Nhơn Trạch, Đồng Nai): 450 MW.
- NM Nhơn Trạch 2 (Nhơn Trạch, Đồng Nai): 750 MW.
- Điện than (34% sản lượng)
- Nhà máy Vũng Áng 1 (Hà Tĩnh, 2014-2015), công suất 1.200 MW (2x 600 MW).
Thủy điện
- NM Hủa Na (Sông Chu, Nghệ An, 2013): 180 MW.
- NM Dakdrinh (Sơn Tây, Quảng Ngãi, 2014): 125 MW.
- NM Nậm Cắt (Bạch Thông, Bất Kạn, 2012): 3,2 MW.
- Tổng số lao động: 2261 người (2022)","100% Đầu ra của POW là EVN
2022 Sản lượng POW được EVN huy động đạt 14,197 Triệu kWh. (100%)
Mức giá trung bình (2022) 1.424 đồng/ kWh.","Kế hoạch kinh doanh 2023 và giai đoạn tới
Kế hoạch sản xuất kinh doanh 2023 với tổng sản lượng điện là 15.6 tỷ kWh (+10% thực hiện 2022).
Tiếp tục đẩy mạnh công tác đầu tư các dự án Nhơn Trạch 3&4, LNG Quảng Ninh, dự án toà nhà trụ sở PV Power và các dự án
năng lượng tái tạo.

Dự án Nhơn Trạch 3&4
Đây là hai dự án trọng điểm của POW với tổng mức đầu tư đạt 34.000 tỷ đồng. Thời điểm đưa vào hoạt động: NT3 - Q3/2023;
NT4 - Q4/2024.
Dự kiến sau khi đi vào vận hành 2 nhà máy sẽ đạt sản lượng 9 tỷ kWh/năm và đóng góp 36% doanh thu của POW khi được
đưa vào hoạt động.
Theo kế hoạch, dự án sẽ sử dụng nhiên liệu khí hóa lỏng (LNG) nhập khẩu từ kho cảng LNG Thị Vải, tiêu thụ khoảng 1,4 triệu
tấn LNG/năm và nhiên liệu dự phòng là đầu DO.
POW đã thông báo liên doanh Samsung C&T và LILLAMA sẽ trở thành nhà thầu EPC của dự án Nhơn Trạch 3&4. Thời gian thì
công dự tính vào khoảng 36 tháng.

Dự án điện khí LNG Quảng Ninh
POW cũng đã bắt đầu khởi động Dự án điện khi LNG Quảng Ninh công suất 1.500MW với tổng mức đầu tư khoảng 48,000
tỷ đồng.
POW đang cùng với các đối tác thành lập công ty cổ phần và dự kiến sẽ tham gia 30%.
Ngoài ra, khi quy hoạch điện VII được phê duyệt, PV Power sẽ tiến hành các thủ tục đầu tư dự án NMĐ LNG Cà Mau 3 với tổng mức đầu tư 34,000 tỷ đồng, dự kiến sẽ đi vào vận hành vào năm 2026"
PPC,HOSE,Tiện ích điện,"Cơ cấu thu nhập (2022)
Bản điện (99,75%), Khác (0,25%).","Than
3 triệu tấn/năm. Chủ yếu là than cám loại 5, nhiệt năng tỏa ra thấp. Sản lượng khai thác cao, giá thành rẻ.
Nhập từ TKV, Đông Bắc. Hợp đồng than được ký kế theo năm.
Dầu
6.000 tấn/năm.
Nhập từ công ty xăng dầu B1, giá biến động theo giá dầu FO.
Do cả 2 nhà máy của PCC điều sử dụng công nghệ cũ nên chi phí nguyên vật liệu của PPC cao hơn 10- 20% các nhà máy khác.","Nhà máy Phả Lại 1 (Chí Linh, Hải Dương)
- Công suất 440 MW.
- Nhà máy xây dựng từ năm 1983 theo công nghệ Liên Xô, thường xuyên hỏng hóc.
Nhà máy Phả Lại 2 (Chí Linh, Hải Dương)
- Công suất 600 MW
- Được xây từ năm 2001 theo công nghệ Nhật Bản","100% sản lượng của PPC được bán cho EVN
Khoảng hơn 85-90% sản lượng bán cho EVN theo giá Qc, còn lại bản theo giá giao ngay.
Nhà máy Phả Lại 1 có sản lượng chỉ bằng 1/2 so với Phả Lại 2 nhưng bù lại có giả bản điện cao hơn.
Sản lượng điện thương phẩm 2022 đạt 2.877 Triệu kWh.
Giá trung bình 2022 khoảng 1937 đồng/kWh.","Kế hoạch hoạt động năm 2023 và giai đoạn tới
Sản lượng điện thương phẩm trong năm 2023: 3.532 triệu kWh.
Kế hoạch phân phối lợi nhuận 2022 là 5% bằng tiền"
PVV,UPCOM,"Kỹ thuật xây dựng

Ngành cấp 1:
Công nghiệp

Ngành cấp 2:
Hàng hóa chủ chốt

Ngành cấp 3:
Kỹ thuật xây dựng

Ngành cấp 4:
Xây dựng công trình khác

","No data
",No data,No data,"No data
(Search Google: Công ty có một lượng khách hàng sẵn có thông qua các công ty có liên quan với hai Tổng Công ty là Vinaconex và PVC)",
PXI,UPCOM,"Kỹ thuật xây dựng

Ngành cấp 1:
Công nghiệp

Ngành cấp 2:
Hàng hóa chủ chốt

Ngành cấp 3:
Kỹ thuật xây dựng

Ngành cấp 4:
Xây dựng công trình khác","No data
",No data,"No data
(Search Google: Công ty có hệ thống máy móc, thiết bị thi công hiện đại, có thể thi công xây dựng nhà cao tầng đến trên 30 tầng như cầu tháp, máy trộn bê tông, máy bơm bê tông, máy trắc địa, máy phát điện, máy hàn, hệ thống giàn giáo cốp pha...) ","No data
(Search Google: Công ty là thành viên của Tập đoàn Dầu khí Quốc gia Việt Nam nên có được một lượng lớn khách hàng sẵn có thông qua các công ty có liên quan và công ty thành viên trong Tập đoàn.)",
PXL,UPCOM,"Quản lý và Phát triển bất động sản

Ngành cấp 1:
Bất động sản

Ngành cấp 2:
Bất động sản

Ngành cấp 3:
Quản lý và Phát triển bất động sản

Ngành cấp 4:
Bất động sản công nghiệp
","No data
",No data,"No data
(Search Google: Một số dự án của PXL bao gồm Khu dân cư Nam Long, Chung cư Khang Gia Chánh Hưng, Chung cư Thái An 3, Thái An 4, Long Sơn Building,...) ","No data
(Search Google: Thị trường khai thác của Công ty tập trung tại tỉnh Bà Rịa - Vũng Tàu, TP HCM và đang mở rộng ra các tỉnh lân cận.)",
PXS,UPCOM,"Kỹ thuật xây dựng

Ngành cấp 1:
Công nghiệp

Ngành cấp 2:
Hàng hóa chủ chốt

Ngành cấp 3:
Kỹ thuật xây dựng

Ngành cấp 4:
Xây dựng công trình khác","No data
",No data,No data,No data,
PXT,UPCOM,Kỹ thuật xây dựng,"No data
Ngành cấp 1:
Công nghiệp

Ngành cấp 2:
Hàng hóa chủ chốt

Ngành cấp 3:
Kỹ thuật xây dựng

Ngành cấp 4:
Xây dựng công trình khác",No data,No data,No data,
RDP,HOSE,Hóa chất,"No data
Ngành cấp 1:
Nguyên vật liệu

Ngành cấp 2:
Nguyên vật liệu

Ngành cấp 3:
Hóa chất

Ngành cấp 4:
Sản phẩm từ nhựa",No data,No data,No data,
REE,HOSE,Tập đoàn công nghiệp,"Năng lượng (57,24%)
Cơ điện lạnh (30,05%)
Bất động sản (11,06%)
Nước (1,64%).","Mảng năng lượng REE trọng số là Thủy Điện, do đó Thủy văn ảnh hưởng lớn đến hoạt động sản xuất mảng năng lượng của REE.","Số lượng lao động (đầu 2023) 2.122 người (+10% yoy)
Mảng nước và môi trường
Công suất xử lý nước: > 1,1 triệu m3/ngày.
Công suất phân phối nước: > 0,7 triệu m3/ngày.
Công suất nhà máy xử lý nước:
• CTCP Đầu tư nước sạch Sông Đà (Tỷ lệ sở hữu: 42.6%):
300.000 m3/ngày
• CTCP Đầu tư và KD Nước sạch Sài Gòn (Tỷ lệ sở hữu:
30%): 300.000 m3/ngày
• CTCP B.O.O Nước Thủ Đức (Tỷ lệ sở hữu: 42%):
300.000 m3/ngày
• CTCP Đầu tư nước sạch Tân Hiệp (Tỷ lệ sở hữu: 32%):
265.000 m3/ngày.
Mảng năng lượng
Tổng công suất lắp đặt: 2.734 MW.
Tổng công suất lắp đặt thực sở hữu: 1.023MW.
a) Nhiệt điện
Công suất lắp đặt theo tỷ lệ sở hữu: 281 MW.
• Sản lượng điện: 828 triệu Kwh.
• Hiệu suất số công suất: 39%.
b) Thủy điện
• Công suất lắp đặt theo tỷ lệ sở hữu: 512 MW.
• Sản lượng điện: 2.860 triệu Kwh.
Hiệu suất số công suất: 64%.
c) Điện gió (được hưởng giá FIT, trong đó: 3 dự án_8,5 US
Cents/kwh, 1 dự án (48MW)_9,8 US Cents/kwh)
Công suất lắp đặt theo tỷ lệ sở hữu: 87 MW.
• Sản lượng điện: 237 triệu KWh.
• Hiệu suất số công suất: 31%.
d) Điện mặt trời
Công suất lắp đặt theo tỷ lệ sở hữu: 143 MW
Công suất vận hành lũy kế: 93 MW
Sản lượng điện: 170 triệu Kwh
Hiệu suất số công suất: 14%.
Vận hành và bảo dưỡng các nhà máy điện mặt trời được thực
hiện đơn giản vì không có các phần tử quay, không bị hao mòn
và không bị rách, trừ hệ thống điều chỉnh hướng theo mặt trời.","Cơ điện lạnh
Giá trị hợp đồng hiện tại (đầu 2023): 4,500 tỷ (+60,7% YoY).
Mảng nước
Tổng sản lượng nước sản xuất: 423 triệu m3.
Tổng sản lượng nước phân phối: 267 triệu m3.
Giá nước sạch thường được điều chỉnh để tăng hàng năm theo
lộ trình, trung bình 3-5%/năm.
Mảng bất động sản
Số lượng tòa nhà văn phòng: 11 tòa nhà.
Số lượng khách thuê: 220 doanh nghiệp.
Tổng diện tích cho thuê 144.854 m2 (Tỷ lệ lấp đầu 97,5%).
Tỷ lệ lấp đầy của các tòa nhà văn phòng của REE vẫn duy trì
trên 98%. Trong đó, tỷ lệ lấp đầy tại 2 tòa nhà có giá thuê cao
hơn của REE là e.Town Central và REE Tower ở mức 100%.
Mảng năng lượng: 100% sản lượng điện thương phẩm do EVN thu mua
Biên lợi nhuận gộp của nhóm các công ty thủy điện của REE:
50-65%.
Biên lợi nhuận gộp của nhóm các doanh nghiệp nhiệt điện và
doanh nghiệp điện khí: 10-15%.","Kế hoạch kinh doanh 2023 và giai đoạn tới
Mục tiêu tăng trưởng cho 5 năm kế tiếp ở mức trung bình
15%/năm.
Mảng năng lượng
• REE đặt kế hoạch lợi nhuận đi lùi 19% YoY về mức 1,351
tỷ do thời tiết thuận lợi qua đi.
• REE dự kiến sẽ nâng công suất lên thêm 100 MW và duy
trì chiến lược M&A các dự án phù hợp, đặc biệt trong
lĩnh vực thủy điện.
• Và REE đã bắt đầu nghiên cứu đối với mảng hydrogen,
về dài hạn, REE sẽ cân nhắc đề xuất phát triển điện mặt
trời trên mặt hồ thủy điện.
• REE sẽ không đầu tư vào điện mặt trời nữa do dự thảo
Quy hoạch phát triển điện VIII (QHĐ 8) mới đây cho thấy
không có ý định mở rộng công suất điện mặt trời.
Mång M&E
• REE đặt kế hoạch tăng doanh thu mảng M&E khoảng
20% YoY trong năm 2023. Lượng Backlog hiện tại ở mức
4,500 tỷ, dự kiến backlog ký mới trong năm 2023 sẽ đạt
5,000 tỷ.
• REE sẽ tham gia đấu thầu cho lượng backlog tại sân bay
Long Thành và mở rộng sân bay Tân Sơn Nhất và Nội
Bài -ước tính ở mức 10,000 tỷ.
Mảng Bất động sản
Dự án Etownô đã hoàn thiện thi công phần tầng hầm,
tiến độ thi công khoảng 5 ngày 1 sàn, dự kiến sẽ cất nóc
vào tháng 7/2023. Về giá thuê kỳ vọng dự kiến sẽ dao
động từ 24 USD/m2 đến 29 USD/m2 với tỷ lệ lấp đầy
ban đầu ở mức 30%.
• Dự án Bồ Xuyên, Thái Bình, tổng diện tích khoảng 2ha,
có khoảng 45 căn nhà ở thương mại và một cao ốc. REE
cho biết sẽ khởi công các căn hộ thấp tầng vào tháng
5/2023 và hoàn tất thi công trong hai quý, bắt đầu mở
bán từ Q3/2023 và đem về từ 800 đến 900 tỷ doanh thu
trong năm 2023."
S99,HNX,Kỹ thuật xây dựng,"Xây lắp (85%), Khác (15%).",No data,"Năng lực sản xuất
Nhà máy thủy điện Ca Na 1: Công suất 7 MW. Đưa vào vận hành từ năm 2016.
Nhà máy thủy điện Ca Na 2: Công suất 16 MW. Đưa vào vận hành từ năm 2016.
Nhà máy điện gió Hướng Linh 8: Công suất 25,2 MW. Đưa vào vận hành từ tháng 10/2021.","Tình hình thực hiện các dự án (2022)
Dự án thủy điện Nậm Lui 2
• Đã phát điện thương mại từ tháng 2 2023.
Dự án thủy điện Nậm Lui 1
• Đã phát điện thương mại từ tháng 1 2023.
Dự án thủy điện Nậm Xe

Kế hoạch phát điện vào Quý 3 2023.
Dự án tổng thầu EPC Dự án Thủy Điện Nậm San 3
Đạt lũy kế khoảng 61% khối lượng.",
SAB,HOSE,Đồ uống,"Cơ cấu doanh thu (2022)
Bán bia (87,3%)
Bán nguyên vật liệu (12,1%)
Bán nước giải khát (0,5%)
Bán cồn và rượu (0,2%)
","Nguyên vật liệu
SAB nhập khẩu các mặt hàng như malt, houblon, enzyme từ các nước trong khu vực Châu Âu, Úc, Mỹ.
Các nguyên liệu khác còn lại và bao bì sẽ được cung cấp bởi các nhà sản xuất trong nước, với chi phí hợp lý và đa dạng các bên cung cấp.","Năng lực sản xuất
26 nhà máy nằm trải dài ở 3 miền với tổng công suất 2,4 tỷ lít/năm.","Hệ thống phân phối
1 công ty thương mại mẹ.
11 công ty Thương mại khu vực và toàn quốc.
30 quốc gia và 63 tình thành với hơn 200.000 điểm bán.","Kế hoạch kinh doanh 2023 và giai đoạn tới
Kế hoạch năm 2023 với doanh thu là 40,3 nghìn tỷ đồng (+15%
svck) và LNST là 5,8 nghìn tỷ đồng (+5% svck).
Chủ trương nâng tỷ lệ sở hữu của SAB tại CTCP TĐ Bia Sài Gòn
Bình Tây (Sabibeco) và CTCP TĐ Bao bì Sài Gòn.
Cổ tức cho năm 2022 là 50% (đã trả 35%).
Phát hành cổ phiếu thưởng 1:1 nhằm tăng thanh khoản."
SCG,HNX,Kỹ thuật xây dựng,"Cơ cấu doanh thu (2022)
Hợp đồng xây dựng (93,8%)
Thiết kế, thi công nội thất (2,1%),
Bán hàng hóa và khác (4,1%).","Chi phí xây dựng đầu vào
SCG đã thực hiện chiến lược đa dạng hóa các nhà cung cấp nguyên vật liệu, với trên 200 nhà cung cấp khác nhau, giúp
công ty có khả năng quản trị rủi ro chi phí khá tốt với chiến lược chào giá cạnh tranh cũng như cập nhật liên tục biến động
giá cả thị trường.

Nhân sự (2021)
SCG hội tụ đội ngũ xấp xỉ 600 nhân sự, gần 600 công nhân trực tiếp và hơn 4.000 công nhân gián tiếp có nhiều kinh
nghiệm thực tế. Ngoài việc tạo môi trường làm việc chuyên nghiệp, uy tín để thu hút nhiều nhân tài, SCG cũng đã hoàn thành xây dựng quy
trình quản trị nội bộ hiệu quả theo tiêu chuẩn ISO và tiêu chuẩn OHSAS.","Số lao động ( đầu năm 2023) : 314 người.

Các dự án lớn SCG đang thực hiện (2023)
Dự án Sunshine Heritage Phúc Thọ
Dự án - E2 Cọc tường vây
Dự án Khu biệt thự cao cấp và Du lịch nghỉ dưỡng đồi Hòn Rơm
Khu nhà ở cao tầng Phú Thuận (E2)
Dự án Sunshine Capital Tây Thăng Long
Công trình Sunshine Horizon
Dự án Sunshine Capital Thanh Hóa
Dự án Sunshine Sky Villas - Cao tầng (CT02A)
Dự án các văn phòng giao dịch Umee
Dự án Khu nhà ở Phường Tân Phú, Quận 7, TP. Hồ Chí Minh (E3)
Dự án The Empire - Cocobay
Dự án Sunshine Green Iconic
Dự án Sunshine Empire","Xây dựng dân dụng và công nghiệp
SCG là công ty tiên phong ứng dụng các giải pháp thi công hiện đại, kỹ thuật xây dựng tân tiến cùng với nền tảng công nghệ 4.0 để tạo lợi thế cạnh tranh và là nhân tố chính trong sự lựa chọn của khách hàng.
Công ty hiện đang phát triển mạnh giải pháp BIM (Building Information Modeling) để nâng cao hiệu quả cho các dự án
Tổng thầu xây dựng và cơ điện (Build & MEP) và Tổng thầu D&B.
Thêm vào đó, SCG đã thiết lập và chuẩn hóa quy trình trong xây dựng theo tiêu chuẩn quốc tế, đáp ứng được các yêu cầu khắt khe của các dự án quy mô lớn và có tính biểu tượng như Sunshine Crystal River, Sunshine Empire, Sunshine City Sài Gòn, Sunshine Diamond River, Sunshine Golden River,
Sunshine Horizon,...
SCG là đơn vị duy nhất được vinh danh tại hạng mục giải thưởng Best Innovative Contractor Southeast Asia 2020 - Nhà
thầu xây dựng đột phá nhất Đông Nam Á 2020. Hiện tại, các dự án bất động sản của SCG đang tập trung chủ yếu tại Hà Nội và TP. Hồ Chí Minh.
Tính đến Q3/2021, tổng giá trị một số hợp đồng lớn mà SCG đã ký với khách hàng đã đạt hơn 22.140 tỷ đồng và đây đều là chuỗi dự án cao cấp, được thị trường đánh giá rất cao.

Xây dựng hạ tầng
Ngoài lĩnh vực xây dựng dân dụng và công nghiệp, SCG cũng tham gia công tác xây dựng dự án cầu đường, san lấp mặt bằng,... Đặc biệt, công ty đang hướng đến việc xây dựng hệ thông sân bay, cầu cảng, Metro... vươn tầm quốc tế.","Kế hoạch kinh doanh năm 2023 và giai đoạn tới
Với tình hình khó khăn, 2023 BLD chỉ đề ra 2.000 tỷ doanh thu và 30 tỷ lợi nhuận. Giảm mạnh so với thực hiện 2022."
